DATA,CASA,TRASFERTA,GOLCS,GOLTR
27/07/2018,Standard,Gent,3,2
28/07/2018,Kortrijk,Anderlecht,1,4
28/07/2018,Oostende,Mouscron,2,1
28/07/2018,St Truiden,Cercle Brugge,0,0
28/07/2018,Waregem,Waasland-Beveren,2,2
29/07/2018,Charleroi,Antwerp,0,1
29/07/2018,Club Brugge,Eupen,5,2
29/07/2018,Lokeren,Genk,0,4
03/08/2018,Waasland-Beveren,Standard,0,0
04/08/2018,Antwerp,Kortrijk,0,0
04/08/2018,Cercle Brugge,Lokeren,3,2
04/08/2018,Eupen,Charleroi,1,4
04/08/2018,Gent,Waregem,1,1
05/08/2018,Anderlecht,Oostende,5,2
05/08/2018,Genk,St Truiden,1,1
05/08/2018,Mouscron,Club Brugge,0,1
10/08/2018,Club Brugge,Kortrijk,3,0
11/08/2018,Mouscron,Antwerp,0,1
11/08/2018,St Truiden,Lokeren,1,1
11/08/2018,Standard,Cercle Brugge,0,0
11/08/2018,Waregem,Eupen,4,0
12/08/2018,Charleroi,Anderlecht,1,2
12/08/2018,Gent,Waasland-Beveren,4,1
12/08/2018,Oostende,Genk,0,2
17/08/2018,Anderlecht,Mouscron,2,0
18/08/2018,Cercle Brugge,Waregem,3,1
18/08/2018,Kortrijk,Oostende,1,2
18/08/2018,Lokeren,Standard,0,3
18/08/2018,Waasland-Beveren,St Truiden,2,2
19/08/2018,Antwerp,Club Brugge,1,1
19/08/2018,Eupen,Gent,2,3
19/08/2018,Genk,Charleroi,3,1
24/08/2018,Oostende,Waregem,3,1
25/08/2018,Antwerp,Cercle Brugge,1,0
25/08/2018,Charleroi,Kortrijk,0,2
25/08/2018,Mouscron,Eupen,0,1
25/08/2018,Standard,St Truiden,3,2
26/08/2018,Club Brugge,Anderlecht,2,1
26/08/2018,Genk,Waasland-Beveren,3,2
26/08/2018,Gent,Lokeren,2,1
31/08/2018,Waregem,Club Brugge,2,5
01/09/2018,Charleroi,Mouscron,3,1
01/09/2018,Eupen,Standard,2,1
01/09/2018,Lokeren,Waasland-Beveren,1,0
01/09/2018,St Truiden,Oostende,1,0
02/09/2018,Anderlecht,Antwerp,1,1
02/09/2018,Cercle Brugge,Gent,0,3
02/09/2018,Kortrijk,Genk,3,3
14/09/2018,Club Brugge,Lokeren,2,1
15/09/2018,Genk,Anderlecht,1,0
15/09/2018,Oostende,Cercle Brugge,1,1
15/09/2018,Standard,Charleroi,0,0
15/09/2018,Waasland-Beveren,Eupen,0,0
16/09/2018,Antwerp,Waregem,5,1
16/09/2018,Gent,St Truiden,1,2
16/09/2018,Mouscron,Kortrijk,1,0
21/09/2018,Waregem,Kortrijk,0,2
22/09/2018,Eupen,Oostende,1,2
22/09/2018,Lokeren,Mouscron,0,0
22/09/2018,St Truiden,Antwerp,2,0
22/09/2018,Waasland-Beveren,Charleroi,1,1
23/09/2018,Anderlecht,Standard,2,1
23/09/2018,Cercle Brugge,Genk,2,5
23/09/2018,Gent,Club Brugge,0,4
28/09/2018,Kortrijk,Eupen,1,3
29/09/2018,Charleroi,Lokeren,2,1
29/09/2018,Club Brugge,Cercle Brugge,4,0
29/09/2018,Genk,Waregem,4,0
29/09/2018,Mouscron,Waasland-Beveren,0,3
30/09/2018,Anderlecht,St Truiden,0,0
30/09/2018,Antwerp,Gent,2,2
30/09/2018,Oostende,Standard,1,3
05/10/2018,Cercle Brugge,Charleroi,2,1
06/10/2018,Eupen,Antwerp,1,2
06/10/2018,Lokeren,Kortrijk,1,3
06/10/2018,St Truiden,Mouscron,3,1
06/10/2018,Waasland-Beveren,Oostende,1,1
07/10/2018,Gent,Genk,1,5
07/10/2018,Standard,Club Brugge,3,1
07/10/2018,Waregem,Anderlecht,1,2
19/10/2018,Club Brugge,Waasland-Beveren,1,1
20/10/2018,Antwerp,Lokeren,2,1
20/10/2018,Genk,Eupen,2,1
20/10/2018,Kortrijk,St Truiden,3,1
20/10/2018,Mouscron,Standard,0,0
21/10/2018,Anderlecht,Cercle Brugge,4,2
21/10/2018,Charleroi,Waregem,3,2
21/10/2018,Oostende,Gent,0,4
26/10/2018,Gent,Charleroi,2,1
27/10/2018,Cercle Brugge,Kortrijk,1,1
27/10/2018,Lokeren,Oostende,0,0
27/10/2018,St Truiden,Club Brugge,2,2
27/10/2018,Waregem,Mouscron,2,2
28/10/2018,Eupen,Anderlecht,2,1
28/10/2018,Standard,Genk,1,1
