DATA,CASA,TRASFERTA,GOLCS,GOLTR
27/07/2018,Din. Zagabria,Rudes,1,1
28/07/2018,Lok. Zagreb,Zapresic,4,0
28/07/2018,Rijeka,Gorica,2,0
29/07/2018,Istra 1961,Slaven Belupo,1,1
29/07/2018,Osijek,Hajduk Split,4,1
03/08/2018,Rijeka,Zapresic,4,0
03/08/2018,Din. Zagabria,Istra 1961,3,0
04/08/2018,Gorica,Slaven Belupo,3,3
05/08/2018,Osijek,Rudes,3,2
05/08/2018,Hajduk Split,Lok. Zagreb,1,1
10/08/2018,Din. Zagabria,Slaven Belupo,2,1
11/08/2018,Gorica,Zapresic,2,3
11/08/2018,Lok. Zagreb,Rudes,1,0
12/08/2018,Osijek,Istra 1961,3,0
12/08/2018,Rijeka,Hajduk Split,1,1
17/08/2018,Din. Zagabria,Osijek,2,1
18/08/2018,Istra 1961,Lok. Zagreb,1,2
19/08/2018,Rudes,Rijeka,1,2
19/08/2018,Hajduk Split,Gorica,0,2
24/08/2018,Osijek,Slaven Belupo,1,1
25/08/2018,Gorica,Rudes,2,0
25/08/2018,Din. Zagabria,Lok. Zagreb,1,0
26/08/2018,Zapresic,Hajduk Split,2,2
26/08/2018,Rijeka,Istra 1961,3,3
31/08/2018,Zapresic,Rudes,3,0
01/09/2018,Slaven Belupo,Hajduk Split,1,1
01/09/2018,Osijek,Lok. Zagreb,2,1
02/09/2018,Istra 1961,Gorica,0,2
02/09/2018,Din. Zagabria,Rijeka,1,1
08/09/2018,Slaven Belupo,Zapresic,2,1
14/09/2018,Zapresic,Istra 1961,1,2
15/09/2018,Gorica,Din. Zagabria,0,2
15/09/2018,Hajduk Split,Rudes,3,1
16/09/2018,Slaven Belupo,Lok. Zagreb,2,5
16/09/2018,Rijeka,Osijek,1,1
21/09/2018,Slaven Belupo,Rudes,1,1
22/09/2018,Lok. Zagreb,Rijeka,2,0
22/09/2018,Osijek,Gorica,0,1
23/09/2018,Istra 1961,Hajduk Split,2,4
23/09/2018,Din. Zagabria,Zapresic,5,3
29/09/2018,Zapresic,Osijek,3,0
29/09/2018,Hajduk Split,Din. Zagabria,0,0
30/09/2018,Rijeka,Slaven Belupo,0,0
30/09/2018,Gorica,Lok. Zagreb,3,0
01/10/2018,Rudes,Istra 1961,3,0
05/10/2018,Zapresic,Lok. Zagreb,2,1
06/10/2018,Gorica,Rijeka,2,1
06/10/2018,Slaven Belupo,Istra 1961,3,1
07/10/2018,Rudes,Din. Zagabria,0,3
07/10/2018,Hajduk Split,Osijek,0,2
19/10/2018,Zapresic,Rijeka,1,2
20/10/2018,Rudes,Osijek,1,4
20/10/2018,Istra 1961,Din. Zagabria,1,4
21/10/2018,Slaven Belupo,Gorica,0,1
21/10/2018,Lok. Zagreb,Hajduk Split,2,0
26/10/2018,Rudes,Lok. Zagreb,0,4
27/10/2018,Zapresic,Gorica,1,3
27/10/2018,Istra 1961,Osijek,1,1
28/10/2018,Hajduk Split,Rijeka,1,1
28/10/2018,Slaven Belupo,Din. Zagabria,0,2
03/11/2018,Lok. Zagreb,Istra 1961,1,0
04/11/2018,Gorica,Hajduk Split,1,1
04/11/2018,Osijek,Din. Zagabria,0,2
05/11/2018,Zapresic,Slaven Belupo,0,0
05/11/2018,Rijeka,Rudes,5,1
09/11/2018,Rudes,Gorica,0,1
10/11/2018,Slaven Belupo,Osijek,0,2
10/11/2018,Hajduk Split,Zapresic,3,0
11/11/2018,Istra 1961,Rijeka,1,2
11/11/2018,Lok. Zagreb,Din. Zagabria,0,1
23/11/2018,Rudes,Zapresic,0,1
24/11/2018,Rijeka,Din. Zagabria,1,0
24/11/2018,Gorica,Istra 1961,0,2
25/11/2018,Hajduk Split,Slaven Belupo,2,2
25/11/2018,Lok. Zagreb,Osijek,2,2
30/11/2018,Istra 1961,Zapresic,0,2
30/11/2018,Lok. Zagreb,Slaven Belupo,1,1
01/12/2018,Osijek,Rijeka,1,2
01/12/2018,Rudes,Hajduk Split,1,4
02/12/2018,Din. Zagabria,Gorica,1,0
08/12/2018,Rijeka,Lok. Zagreb,3,0
08/12/2018,Hajduk Split,Istra 1961,3,1
09/12/2018,Zapresic,Din. Zagabria,0,2
09/12/2018,Gorica,Osijek,1,2
10/12/2018,Rudes,Slaven Belupo,1,1
14/12/2018,Lok. Zagreb,Gorica,2,2
16/12/2018,Osijek,Zapresic,6,0
16/12/2018,Din. Zagabria,Hajduk Split,1,0
16/12/2018,Istra 1961,Rudes,1,0
30/01/2019,Slaven Belupo,Rijeka,1,1
01/02/2019,Lok. Zagreb,Zapresic,2,0
02/02/2019,Din. Zagabria,Rudes,7,2
02/02/2019,Istra 1961,Slaven Belupo,1,1
03/02/2019,Osijek,Hajduk Split,0,1
03/02/2019,Rijeka,Gorica,1,3
08/02/2019,Rudes,Osijek,0,1
09/02/2019,Slaven Belupo,Gorica,2,0
09/02/2019,Din. Zagabria,Istra 1961,1,0
10/02/2019,Zapresic,Rijeka,0,3
10/02/2019,Hajduk Split,Lok. Zagreb,2,1
15/02/2019,Lok. Zagreb,Rudes,0,0
16/02/2019,Rijeka,Hajduk Split,0,0
16/02/2019,Gorica,Zapresic,2,2
17/02/2019,Osijek,Istra 1961,1,0
17/02/2019,Din. Zagabria,Slaven Belupo,3,0
22/02/2019,Rudes,Rijeka,2,4
23/02/2019,Slaven Belupo,Zapresic,0,1
23/02/2019,Hajduk Split,Gorica,0,0
24/02/2019,Istra 1961,Lok. Zagreb,0,0
24/02/2019,Din. Zagabria,Osijek,3,0
02/03/2019,Gorica,Rudes,3,1
02/03/2019,Lok. Zagreb,Din. Zagabria,1,1
03/03/2019,Zapresic,Hajduk Split,1,3
03/03/2019,Osijek,Slaven Belupo,1,1
08/03/2019,Rudes,Zapresic,2,0
09/03/2019,Slaven Belupo,Hajduk Split,1,2
09/03/2019,Istra 1961,Gorica,0,3
10/03/2019,Osijek,Lok. Zagreb,1,1
10/03/2019,Din. Zagabria,Rijeka,3,1
15/03/2019,Zapresic,Istra 1961,3,1
16/03/2019,Lok. Zagreb,Slaven Belupo,3,1
13/03/2019,Hajduk Split,Rudes,3,0
17/03/2019,Gorica,Din. Zagabria,1,2
17/03/2019,Rijeka,Osijek,3,1
28/03/2019,Slaven Belupo,Rudes,2,1
29/03/2019,Osijek,Gorica,2,2
29/03/2019,Lok. Zagreb,Rijeka,1,2
