belgio,croazia,francia,germania,grecia,inghilterra,italiaA,italiaB,olanda,portogallo,russia,spagna,turchia
Anderlecht,Din. Zagabria,Amiens,Augsburg,AEK,Arsenal,Atalanta,Ascoli,Ajax,Aves,Akhmat Grozny,Alaves,Akhisar Belediyespor
Antwerp,Gorica,Angers,Bayern Munich,Apollon,Bournemouth,Bologna,Benevento,AZ Alkmaar,Belenenses,Arsenal Tula,Ath Bilbao,Alanyaspor
Cercle Brugge,Hajduk Split,Bordeaux,Dortmund,Aris,Brighton,Cagliari,Brescia,Den Haag,Benfica,CSKA Moscow,Ath Madrid,Ankaragucu
Charleroi,Istra 1961,Caen,Ein Frankfurt,Asteras Tripolis,Burnley,Chievo,Carpi,Excelsior,Boavista,Dynamo Moscow,Barcelona,Antalyaspor
Club Brugge,Lok. Zagreb,Dijon,Fortuna Dusseldorf,Atromitos,Cardiff,Empoli,Cittadella,FC Emmen,Chaves,FK Anzi Makhackala,Betis,Besiktas
Eupen,Osijek,Guingamp,Freiburg,Giannina,Chelsea,Fiorentina,Cosenza,Feyenoord,Feirense,FK Krylya Sovetov Samara,Celta,Bursaspor
Genk,Rijeka,Lille,Hannover,Lamia,Crystal Palace,Frosinone,Cremonese,For Sittard,Guimaraes,FK Rostov,Eibar,Buyuksehyr
Kortrijk,Rudes,Lyon,Hertha,Larisa,Everton,Genoa,Crotone,Graafschap,Maritimo,Krasnodar,Espanol,Erzurum BB
Lokeren,Slaven Belupo,Marseille,Hoffenheim,Levadeiakos,Fulham,Inter,Foggia,Groningen,Moreirense,Lokomotiv Moscow,Getafe,Fenerbahce
Mouscron,Zapresic,Monaco,Leverkusen,OFI Crete,Huddersfield,Juventus,Lecce,Heerenveen,Nacional,Orenburg,Girona,Galatasaray
Oostende,,Montpellier,M'gladbach,Olympiakos,Leicester,Lazio,Livorno,Heracles,Portimonense,Rubin Kazan,Huesca,Goztep
St Truiden,,Nantes,Mainz,Panathinaikos,Liverpool,Milan,Padova,NAC Breda,Porto,Spartak Moscow,Leganes,Kasimpasa
Standard,,Nice,Nurnberg,Panetolikos,Man City,Napoli,Palermo,PSV Eindhoven,Rio Ave,Ufa,Levante,Kayserispor
Waasland-Beveren,,Nimes,RB Leipzig,Panionios,Man United,Parma,Perugia,Utrecht,Santa Clara,Ural,Real Madrid,Konyaspor
Waregem,,Paris SG,Schalke 04,PAOK,Newcastle,Roma,Pescara,Vitesse,Setubal,Yenisey,Sevilla,Rizespor
,,Reims,Stuttgart,Xanthi,Southampton,Sampdoria,Salernitana,VVV Venlo,Sp Braga,Zenit Petersburg,Sociedad,Sivasspor
,,St Etienne,Werder Bremen,,Tottenham,Sassuolo,Spezia,Willem II,Sp Lisbon,,Valencia,Trabzonspor
,,Strasbourg,Wolfsburg,,Watford,Spal,Venezia,Zwolle,Tondela,,Valladolid,Yeni Malatyaspor
,,Toulouse,,,West Ham,Torino,Verona,,,,Vallecano,
,,,,,Wolves,Udinese,,,,,Villarreal,
