DATA,CASA,TRASFERTA,GOLCS,GOLTR
10/08/2018,Marseille,Toulouse,4,0
11/08/2018,Angers,Nimes,3,4
11/08/2018,Lille,Rennes,3,1
11/08/2018,Montpellier,Dijon,1,2
11/08/2018,Nantes,Monaco,1,3
11/08/2018,Nice,Reims,0,1
11/08/2018,St Etienne,Guingamp,2,1
12/08/2018,Bordeaux,Strasbourg,0,2
12/08/2018,Lyon,Amiens,2,0
12/08/2018,Paris SG,Caen,3,0
17/08/2018,Reims,Lyon,1,0
18/08/2018,Amiens,Montpellier,1,2
18/08/2018,Caen,Nice,1,1
18/08/2018,Dijon,Nantes,2,0
18/08/2018,Guingamp,Paris SG,1,3
18/08/2018,Monaco,Lille,0,0
18/08/2018,Rennes,Angers,1,0
19/08/2018,Nimes,Marseille,3,1
19/08/2018,Strasbourg,St Etienne,1,1
19/08/2018,Toulouse,Bordeaux,2,1
24/08/2018,Lyon,Strasbourg,2,0
25/08/2018,Amiens,Reims,4,1
25/08/2018,Montpellier,St Etienne,0,0
25/08/2018,Nantes,Caen,1,1
25/08/2018,Nice,Dijon,0,4
25/08/2018,Paris SG,Angers,3,1
25/08/2018,Toulouse,Nimes,1,0
26/08/2018,Bordeaux,Monaco,2,1
26/08/2018,Lille,Guingamp,3,0
26/08/2018,Marseille,Rennes,2,2
31/08/2018,Lyon,Nice,0,1
01/09/2018,Angers,Lille,1,0
01/09/2018,Dijon,Caen,0,2
01/09/2018,Guingamp,Toulouse,1,2
01/09/2018,Nimes,Paris SG,2,4
01/09/2018,Reims,Montpellier,0,1
01/09/2018,Strasbourg,Nantes,2,3
02/09/2018,Monaco,Marseille,2,3
02/09/2018,Rennes,Bordeaux,2,0
02/09/2018,St Etienne,Amiens,0,0
14/09/2018,Nice,Rennes,2,1
14/09/2018,Paris SG,St Etienne,4,0
15/09/2018,Amiens,Lille,2,3
15/09/2018,Caen,Lyon,2,2
15/09/2018,Dijon,Angers,1,3
15/09/2018,Montpellier,Strasbourg,1,1
15/09/2018,Toulouse,Monaco,1,1
16/09/2018,Bordeaux,Nimes,3,3
16/09/2018,Marseille,Guingamp,4,0
16/09/2018,Nantes,Reims,0,0
21/09/2018,Monaco,Nimes,1,1
22/09/2018,Angers,Toulouse,0,0
22/09/2018,Lille,Nantes,2,1
22/09/2018,Montpellier,Nice,1,0
22/09/2018,Reims,Dijon,0,0
22/09/2018,St Etienne,Caen,2,1
22/09/2018,Strasbourg,Amiens,3,1
23/09/2018,Guingamp,Bordeaux,1,3
23/09/2018,Lyon,Marseille,4,2
23/09/2018,Rennes,Paris SG,1,3
25/09/2018,Monaco,Angers,0,1
25/09/2018,Nantes,Nice,1,2
25/09/2018,Toulouse,St Etienne,2,3
26/09/2018,Amiens,Rennes,2,1
26/09/2018,Bordeaux,Lille,1,0
26/09/2018,Caen,Montpellier,2,2
26/09/2018,Dijon,Lyon,0,3
26/09/2018,Marseille,Strasbourg,3,2
26/09/2018,Nimes,Guingamp,0,0
26/09/2018,Paris SG,Reims,4,1
28/09/2018,St Etienne,Monaco,2,0
29/09/2018,Angers,Guingamp,0,1
29/09/2018,Caen,Amiens,1,0
29/09/2018,Lyon,Nantes,1,1
29/09/2018,Nice,Paris SG,0,3
29/09/2018,Reims,Bordeaux,0,0
29/09/2018,Strasbourg,Dijon,3,0
30/09/2018,Lille,Marseille,3,0
30/09/2018,Montpellier,Nimes,3,0
30/09/2018,Rennes,Toulouse,1,1
05/10/2018,Toulouse,Nice,1,1
06/10/2018,Amiens,Dijon,1,0
06/10/2018,Angers,Strasbourg,2,2
06/10/2018,Guingamp,Montpellier,1,1
06/10/2018,Lille,St Etienne,3,1
06/10/2018,Nimes,Reims,0,0
07/10/2018,Bordeaux,Nantes,3,0
07/10/2018,Marseille,Caen,2,0
07/10/2018,Monaco,Rennes,1,2
07/10/2018,Paris SG,Lyon,5,0
19/10/2018,Lyon,Nimes,2,0
