DATA,CASA,TRASFERTA,GOLCS,GOLTR
24/08/2018,Bayern Munich,Hoffenheim,3,1
25/08/2018,Fortuna Dusseldorf,Augsburg,1,2
25/08/2018,Freiburg,Ein Frankfurt,0,2
25/08/2018,Hertha,Nurnberg,1,0
25/08/2018,'M''gladbach',Leverkusen,2,0
25/08/2018,Werder Bremen,Hannover,1,1
25/08/2018,Wolfsburg,Schalke 04,2,1
26/08/2018,Dortmund,RB Leipzig,4,1
26/08/2018,Mainz,Stuttgart,1,0
31/08/2018,Hannover,Dortmund,0,0
01/09/2018,Augsburg,'M''gladbach',1,1
01/09/2018,Ein Frankfurt,Werder Bremen,1,2
01/09/2018,Hoffenheim,Freiburg,3,1
01/09/2018,Leverkusen,Wolfsburg,1,3
01/09/2018,Nurnberg,Mainz,1,1
01/09/2018,Stuttgart,Bayern Munich,0,3
02/09/2018,RB Leipzig,Fortuna Dusseldorf,1,1
02/09/2018,Schalke 04,Hertha,0,2
14/09/2018,Dortmund,Ein Frankfurt,3,1
15/09/2018,Bayern Munich,Leverkusen,3,1
15/09/2018,Fortuna Dusseldorf,Hoffenheim,2,1
15/09/2018,Mainz,Augsburg,2,1
15/09/2018,'M''gladbach',Schalke 04,2,1
15/09/2018,RB Leipzig,Hannover,3,2
15/09/2018,Wolfsburg,Hertha,2,2
16/09/2018,Freiburg,Stuttgart,3,3
16/09/2018,Werder Bremen,Nurnberg,1,1
21/09/2018,Stuttgart,Fortuna Dusseldorf,0,0
22/09/2018,Augsburg,Werder Bremen,2,3
22/09/2018,Hertha,'M''gladbach',4,2
22/09/2018,Hoffenheim,Dortmund,1,1
22/09/2018,Nurnberg,Hannover,2,0
22/09/2018,Schalke 04,Bayern Munich,0,2
22/09/2018,Wolfsburg,Freiburg,1,3
23/09/2018,Ein Frankfurt,RB Leipzig,1,1
23/09/2018,Leverkusen,Mainz,1,0
25/09/2018,Bayern Munich,Augsburg,1,1
25/09/2018,Freiburg,Schalke 04,1,0
25/09/2018,Hannover,Hoffenheim,1,3
25/09/2018,Werder Bremen,Hertha,3,1
26/09/2018,Dortmund,Nurnberg,7,0
26/09/2018,Fortuna Dusseldorf,Leverkusen,1,2
26/09/2018,Mainz,Wolfsburg,0,0
26/09/2018,'M''gladbach',Ein Frankfurt,3,1
26/09/2018,RB Leipzig,Stuttgart,2,0
28/09/2018,Hertha,Bayern Munich,2,0
29/09/2018,Hoffenheim,RB Leipzig,1,2
29/09/2018,Leverkusen,Dortmund,2,4
29/09/2018,Nurnberg,Fortuna Dusseldorf,3,0
29/09/2018,Schalke 04,Mainz,1,0
29/09/2018,Stuttgart,Werder Bremen,2,1
29/09/2018,Wolfsburg,'M''gladbach',2,2
30/09/2018,Augsburg,Freiburg,4,1
30/09/2018,Ein Frankfurt,Hannover,4,1
05/10/2018,Werder Bremen,Wolfsburg,2,0
06/10/2018,Bayern Munich,'M''gladbach',0,3
06/10/2018,Dortmund,Augsburg,4,3
06/10/2018,Fortuna Dusseldorf,Schalke 04,0,2
06/10/2018,Hannover,Stuttgart,3,1
06/10/2018,Mainz,Hertha,0,0
07/10/2018,Freiburg,Leverkusen,0,0
07/10/2018,Hoffenheim,Ein Frankfurt,1,2
07/10/2018,RB Leipzig,Nurnberg,6,0
19/10/2018,Ein Frankfurt,Fortuna Dusseldorf,7,1
20/10/2018,Augsburg,RB Leipzig,0,0
20/10/2018,Leverkusen,Hannover,2,2
20/10/2018,Nurnberg,Hoffenheim,1,3
20/10/2018,Schalke 04,Werder Bremen,0,2
20/10/2018,Stuttgart,Dortmund,0,4
20/10/2018,Wolfsburg,Bayern Munich,1,3
21/10/2018,Hertha,Freiburg,1,1
21/10/2018,'M''gladbach',Mainz,4,0
26/10/2018,Freiburg,'M''gladbach',3,1
27/10/2018,Dortmund,Hertha,2,2
27/10/2018,Fortuna Dusseldorf,Wolfsburg,0,3
27/10/2018,Hannover,Augsburg,1,2
27/10/2018,Hoffenheim,Stuttgart,4,0
27/10/2018,Mainz,Bayern Munich,1,2
28/10/2018,Nurnberg,Ein Frankfurt,1,1
28/10/2018,RB Leipzig,Schalke 04,0,0
28/10/2018,Werder Bremen,Leverkusen,2,6
02/11/2018,Stuttgart,Ein Frankfurt,0,3
03/11/2018,Augsburg,Nurnberg,2,2
03/11/2018,Bayern Munich,Freiburg,1,1
03/11/2018,Hertha,RB Leipzig,0,3
03/11/2018,Leverkusen,Hoffenheim,1,4
03/11/2018,Schalke 04,Hannover,3,1
