DATA,CASA,TRASFERTA,GOLCS,GOLTR
25/08/2018,AEK,Giannina,2,0
25/08/2018,Apollon,Larisa,0,1
25/08/2018,Panetolikos,Atromitos,1,2
25/08/2018,PAOK,Asteras Tripolis,1,0
26/08/2018,Olympiakos,Levadeiakos,1,0
26/08/2018,Panionios,OFI Crete,2,2
26/08/2018,Xanthi,Panathinaikos,0,1
27/08/2018,Lamia,Aris,0,3
01/09/2018,Asteras Tripolis,AEK,0,1
01/09/2018,Atromitos,Xanthi,0,0
01/09/2018,Panathinaikos,Lamia,3,1
02/09/2018,Aris,Larisa,2,0
02/09/2018,Olympiakos,Giannina,5,0
02/09/2018,Panionios,PAOK,0,1
03/09/2018,Levadeiakos,Apollon,1,0
03/09/2018,Panetolikos,OFI Crete,2,1
15/09/2018,AEK,Panionios,4,0
15/09/2018,Apollon,Giannina,1,2
15/09/2018,OFI Crete,PAOK,1,3
16/09/2018,Atromitos,Lamia,1,0
16/09/2018,Larisa,Panathinaikos,1,3
16/09/2018,Olympiakos,Asteras Tripolis,2,1
16/09/2018,Xanthi,Panetolikos,1,1
17/09/2018,Aris,Levadeiakos,2,0
22/09/2018,Asteras Tripolis,Apollon,2,0
22/09/2018,Atromitos,Larisa,2,0
22/09/2018,Giannina,Aris,1,0
23/09/2018,Panathinaikos,Levadeiakos,3,0
23/09/2018,PAOK,AEK,2,0
23/09/2018,Xanthi,OFI Crete,3,0
24/09/2018,Panetolikos,Lamia,2,2
24/09/2018,Panionios,Olympiakos,0,1
29/09/2018,Larisa,Panetolikos,1,0
29/09/2018,OFI Crete,AEK,0,3
29/09/2018,Panathinaikos,Giannina,2,1
30/09/2018,Apollon,Panionios,0,2
30/09/2018,Aris,Asteras Tripolis,2,0
30/09/2018,Levadeiakos,Atromitos,0,2
30/09/2018,Olympiakos,PAOK,0,1
01/10/2018,Lamia,Xanthi,0,0
06/10/2018,Asteras Tripolis,Panathinaikos,1,1
06/10/2018,Panetolikos,Levadeiakos,2,1
06/10/2018,Panionios,Aris,1,0
07/10/2018,AEK,Olympiakos,1,1
07/10/2018,Atromitos,Giannina,1,0
07/10/2018,Lamia,OFI Crete,1,1
07/10/2018,PAOK,Apollon,2,0
08/10/2018,Xanthi,Larisa,1,0
20/10/2018,Apollon,AEK,0,2
20/10/2018,Giannina,Panetolikos,0,2
20/10/2018,Larisa,Lamia,1,2
20/10/2018,Panathinaikos,Panionios,1,0
21/10/2018,Aris,PAOK,1,2
21/10/2018,Levadeiakos,Xanthi,1,2
21/10/2018,OFI Crete,Olympiakos,1,0
22/10/2018,Atromitos,Asteras Tripolis,3,2
27/10/2018,Lamia,Levadeiakos,3,2
27/10/2018,Larisa,OFI Crete,0,0
28/10/2018,AEK,Aris,4,0
28/10/2018,Panetolikos,Asteras Tripolis,1,1
28/10/2018,Panionios,Atromitos,2,2
29/10/2018,Olympiakos,Apollon,1,0
29/10/2018,PAOK,Panathinaikos,2,0
