DATA,CASA,TRASFERTA,GOLCS,GOLTR
24/08/2018,Brescia,Perugia,1,1
25/08/2018,Cremonese,Pescara,1,1
25/08/2018,Salernitana,Palermo,0,0
25/08/2018,Venezia,Spezia,1,0
26/08/2018,Ascoli,Cosenza,1,1
26/08/2018,Cittadella,Crotone,3,0
26/08/2018,Foggia,Carpi,4,2
26/08/2018,Verona,Padova,1,1
27/08/2018,Benevento,Lecce,3,3
31/08/2018,Palermo,Cremonese,2,2
01/09/2018,Carpi,Cittadella,0,1
01/09/2018,Padova,Venezia,1,0
01/09/2018,Spezia,Brescia,3,2
02/09/2018,Crotone,Foggia,4,1
02/09/2018,Lecce,Salernitana,2,2
02/09/2018,Perugia,Ascoli,2,0
02/09/2018,Pescara,Livorno,2,1
14/09/2018,Venezia,Benevento,2,3
15/09/2018,Ascoli,Lecce,1,0
15/09/2018,Brescia,Pescara,1,1
15/09/2018,Cittadella,Cosenza,2,0
15/09/2018,Cremonese,Spezia,2,0
16/09/2018,Foggia,Palermo,1,2
16/09/2018,Salernitana,Padova,3,0
16/09/2018,Verona,Carpi,4,1
17/09/2018,Livorno,Crotone,0,1
21/09/2018,Benevento,Salernitana,4,0
22/09/2018,Carpi,Brescia,1,1
22/09/2018,Cosenza,Livorno,1,1
22/09/2018,Crotone,Verona,1,2
22/09/2018,Lecce,Venezia,2,1
22/09/2018,Palermo,Perugia,4,1
22/09/2018,Pescara,Foggia,1,0
22/09/2018,Spezia,Cittadella,1,0
23/09/2018,Padova,Cremonese,1,1
25/09/2018,Brescia,Palermo,2,1
25/09/2018,Cittadella,Benevento,0,1
25/09/2018,Livorno,Lecce,0,3
25/09/2018,Perugia,Carpi,0,1
25/09/2018,Pescara,Crotone,2,1
25/09/2018,Salernitana,Ascoli,1,1
25/09/2018,Verona,Spezia,2,1
26/09/2018,Cremonese,Cosenza,2,0
26/09/2018,Foggia,Padova,2,1
28/09/2018,Crotone,Brescia,2,2
29/09/2018,Lecce,Cittadella,1,1
29/09/2018,Salernitana,Verona,1,0
29/09/2018,Spezia,Carpi,2,1
29/09/2018,Venezia,Livorno,1,1
30/09/2018,Ascoli,Cremonese,0,0
30/09/2018,Benevento,Foggia,1,3
30/09/2018,Cosenza,Perugia,1,1
02/10/2018,Padova,Pescara,2,2
05/10/2018,Verona,Lecce,0,2
06/10/2018,Carpi,Cosenza,1,1
06/10/2018,Cremonese,Salernitana,0,0
06/10/2018,Foggia,Ascoli,3,2
06/10/2018,Perugia,Venezia,1,0
06/10/2018,Pescara,Benevento,2,1
07/10/2018,Brescia,Padova,4,1
07/10/2018,Livorno,Spezia,1,3
07/10/2018,Palermo,Crotone,1,0
19/10/2018,Spezia,Pescara,1,3
20/10/2018,Ascoli,Carpi,1,0
20/10/2018,Cittadella,Brescia,2,2
20/10/2018,Cosenza,Foggia,2,0
20/10/2018,Crotone,Padova,2,1
21/10/2018,Lecce,Palermo,1,2
21/10/2018,Salernitana,Perugia,2,1
21/10/2018,Venezia,Verona,1,1
22/10/2018,Benevento,Livorno,1,0
26/10/2018,Palermo,Venezia,1,1
27/10/2018,Benevento,Cremonese,2,1
27/10/2018,Brescia,Cosenza,1,0
27/10/2018,Foggia,Lecce,2,2
27/10/2018,Livorno,Ascoli,1,0
27/10/2018,Padova,Spezia,0,0
27/10/2018,Pescara,Cittadella,0,1
27/10/2018,Verona,Perugia,2,1
28/10/2018,Crotone,Salernitana,1,1
30/10/2018,Ascoli,Verona,1,0
30/10/2018,Carpi,Palermo,0,3
30/10/2018,Cittadella,Foggia,1,1
30/10/2018,Cosenza,Pescara,1,1
30/10/2018,Cremonese,Venezia,0,1
30/10/2018,Perugia,Padova,3,2
31/10/2018,Lecce,Crotone,1,0
31/10/2018,Salernitana,Livorno,3,1
02/11/2018,Verona,Cremonese,1,1
03/11/2018,Benevento,Ascoli,1,2
03/11/2018,Foggia,Brescia,2,2
03/11/2018,Padova,Cittadella,0,0
03/11/2018,Palermo,Cosenza,2,1
04/11/2018,Crotone,Carpi,1,1
04/11/2018,Livorno,Perugia,2,3
04/11/2018,Venezia,Salernitana,1,0
05/11/2018,Pescara,Lecce,4,2
09/11/2018,Perugia,Crotone,2,1
10/11/2018,Ascoli,Padova,2,3
10/11/2018,Carpi,Benevento,2,2
10/11/2018,Cosenza,Lecce,2,3
10/11/2018,Cremonese,Livorno,1,0
10/11/2018,Salernitana,Spezia,1,0
11/11/2018,Brescia,Verona,4,2
11/11/2018,Cittadella,Venezia,3,2
11/11/2018,Palermo,Pescara,3,0
18/11/2018,Spezia,Benevento,3,1
23/11/2018,Verona,Palermo,1,1
24/11/2018,Benevento,Perugia,2,1
24/11/2018,Livorno,Cittadella,0,0
24/11/2018,Padova,Carpi,0,1
24/11/2018,Venezia,Brescia,2,1
25/11/2018,Lecce,Cremonese,2,0
25/11/2018,Pescara,Ascoli,1,1
25/11/2018,Spezia,Foggia,0,0
26/11/2018,Crotone,Cosenza,0,1
30/11/2018,Palermo,Benevento,0,0
01/12/2018,Ascoli,Spezia,3,1
01/12/2018,Cittadella,Salernitana,3,1
01/12/2018,Cosenza,Padova,2,1
01/12/2018,Cremonese,Crotone,1,0
02/12/2018,Brescia,Livorno,2,0
02/12/2018,Carpi,Lecce,0,1
02/12/2018,Perugia,Pescara,2,1
03/12/2018,Foggia,Venezia,1,1
07/12/2018,Pescara,Carpi,2,0
08/12/2018,Lecce,Perugia,0,0
08/12/2018,Padova,Palermo,1,3
08/12/2018,Spezia,Cosenza,4,0
08/12/2018,Venezia,Ascoli,1,0
09/12/2018,Benevento,Verona,0,1
09/12/2018,Cremonese,Cittadella,0,0
09/12/2018,Livorno,Foggia,3,1
10/12/2018,Salernitana,Brescia,1,3
14/12/2018,Foggia,Cremonese,3,1
15/12/2018,Ascoli,Cittadella,1,1
15/12/2018,Cosenza,Benevento,0,0
15/12/2018,Palermo,Livorno,1,1
15/12/2018,Perugia,Spezia,1,1
16/12/2018,Brescia,Lecce,2,1
16/12/2018,Carpi,Salernitana,3,2
16/12/2018,Crotone,Venezia,1,1
17/12/2018,Verona,Pescara,3,1
21/12/2018,Ascoli,Brescia,1,1
22/12/2018,Cremonese,Carpi,1,2
22/12/2018,Livorno,Verona,0,0
23/12/2018,Benevento,Crotone,3,0
23/12/2018,Cittadella,Perugia,2,2
23/12/2018,Lecce,Padova,3,2
23/12/2018,Salernitana,Foggia,1,0
23/12/2018,Spezia,Palermo,1,1
23/12/2018,Venezia,Cosenza,0,1
26/12/2018,Brescia,Cremonese,3,2
26/12/2018,Carpi,Livorno,1,4
27/12/2018,Cosenza,Salernitana,0,0
27/12/2018,Crotone,Spezia,0,3
27/12/2018,Padova,Benevento,0,1
27/12/2018,Palermo,Ascoli,3,0
27/12/2018,Perugia,Foggia,3,0
27/12/2018,Pescara,Venezia,1,0
27/12/2018,Verona,Cittadella,4,0
30/12/2018,Ascoli,Crotone,3,2
30/12/2018,Benevento,Brescia,1,1
30/12/2018,Cittadella,Palermo,0,1
30/12/2018,Cremonese,Perugia,4,0
30/12/2018,Foggia,Verona,2,2
30/12/2018,Livorno,Padova,1,1
30/12/2018,Salernitana,Pescara,2,4
30/12/2018,Spezia,Lecce,1,1
30/12/2018,Venezia,Carpi,1,1
18/01/2019,Palermo,Salernitana,1,2
19/01/2019,Carpi,Foggia,0,2
19/01/2019,Crotone,Cittadella,0,0
19/01/2019,Lecce,Benevento,1,1
19/01/2019,Perugia,Brescia,0,2
20/01/2019,Cosenza,Ascoli,0,0
20/01/2019,Padova,Verona,3,0
20/01/2019,Pescara,Cremonese,0,0
21/01/2019,Spezia,Venezia,1,1
25/01/2019,Foggia,Crotone,0,2
26/01/2019,Ascoli,Perugia,0,3
26/01/2019,Cittadella,Carpi,3,1
26/01/2019,Cremonese,Palermo,2,0
26/01/2019,Salernitana,Lecce,1,2
27/01/2019,Brescia,Spezia,4,4
27/01/2019,Livorno,Pescara,0,0
27/01/2019,Venezia,Padova,2,1
28/01/2019,Verona,Cosenza,2,2
02/02/2019,Carpi,Verona,1,1
02/02/2019,Cosenza,Cittadella,2,0
02/02/2019,Padova,Salernitana,0,0
02/02/2019,Spezia,Cremonese,2,0
03/02/2019,Benevento,Venezia,3,0
03/02/2019,Crotone,Livorno,1,1
03/02/2019,Pescara,Brescia,1,5
04/02/2019,Palermo,Foggia,0,0
08/02/2019,Salernitana,Benevento,0,1
09/02/2019,Brescia,Carpi,3,1
09/02/2019,Cittadella,Spezia,0,1
09/02/2019,Cremonese,Padova,0,0
09/02/2019,Perugia,Palermo,1,2
10/02/2019,Foggia,Pescara,1,1
10/02/2019,Livorno,Cosenza,2,0
10/02/2019,Verona,Crotone,1,1
11/02/2019,Venezia,Lecce,1,1
15/02/2019,Palermo,Brescia,1,1
16/02/2019,Ascoli,Salernitana,2,4
16/02/2019,Benevento,Cittadella,1,0
16/02/2019,Carpi,Perugia,0,1
16/02/2019,Padova,Foggia,1,1
17/02/2019,Cosenza,Cremonese,2,0
17/02/2019,Lecce,Livorno,3,2
17/02/2019,Spezia,Verona,1,2
18/02/2019,Crotone,Pescara,0,2
22/02/2019,Verona,Salernitana,1,0
23/02/2019,Brescia,Crotone,2,0
23/02/2019,Carpi,Spezia,3,2
23/02/2019,Cittadella,Lecce,4,1
23/02/2019,Cremonese,Ascoli,0,1
23/02/2019,Foggia,Benevento,1,1
23/02/2019,Perugia,Cosenza,0,1
23/02/2019,Pescara,Padova,2,0
24/02/2019,Livorno,Venezia,1,0
26/02/2019,Ascoli,Foggia,2,2
26/02/2019,Benevento,Pescara,2,1
26/02/2019,Cosenza,Carpi,1,0
26/02/2019,Crotone,Palermo,3,0
26/02/2019,Lecce,Verona,2,1
26/02/2019,Padova,Brescia,1,1
26/02/2019,Salernitana,Cremonese,2,0
27/02/2019,Spezia,Livorno,3,0
27/02/2019,Venezia,Perugia,2,3
01/03/2019,Foggia,Cosenza,1,0
02/03/2019,Brescia,Cittadella,0,1
02/03/2019,Carpi,Ascoli,1,1
02/03/2019,Padova,Crotone,0,0
02/03/2019,Palermo,Lecce,2,1
03/03/2019,Perugia,Salernitana,3,1
03/03/2019,Pescara,Spezia,2,0
03/03/2019,Verona,Venezia,1,0
04/03/2019,Livorno,Benevento,2,0
08/03/2019,Perugia,Verona,1,2
09/03/2019,Cittadella,Pescara,4,1
09/03/2019,Cosenza,Brescia,2,3
09/03/2019,Lecce,Foggia,1,0
09/03/2019,Spezia,Padova,0,2
10/03/2019,Ascoli,Livorno,1,1
10/03/2019,Cremonese,Benevento,1,0
10/03/2019,Salernitana,Crotone,0,2
11/03/2019,Venezia,Palermo,1,1
15/03/2019,Pescara,Cosenza,1,1
16/03/2019,Benevento,Spezia,2,3
16/03/2019,Foggia,Cittadella,1,1
16/03/2019,Livorno,Salernitana,1,0
16/03/2019,Padova,Perugia,0,1
16/03/2019,Verona,Ascoli,1,1
17/03/2019,Crotone,Lecce,2,2
17/03/2019,Palermo,Carpi,4,1
17/03/2019,Venezia,Cremonese,1,1
23/03/2019,Lecce,Ascoli,7,0
29/03/2019,Cremonese,Verona,1,1
30/03/2019,Ascoli,Benevento,2,2
30/03/2019,Brescia,Foggia,2,1
30/03/2019,Carpi,Crotone,1,2
30/03/2019,Cittadella,Padova,1,1
30/03/2019,Cosenza,Palermo,1,1
30/03/2019,Perugia,Livorno,3,1
30/03/2019,Salernitana,Venezia,1,1
31/03/2019,Lecce,Pescara,2,0
02/04/2019,Benevento,Carpi,3,1
02/04/2019,Crotone,Perugia,2,0
02/04/2019,Livorno,Cremonese,1,3
02/04/2019,Padova,Ascoli,1,2
02/04/2019,Spezia,Salernitana,2,1
02/04/2019,Venezia,Cittadella,1,1
02/04/2019,Verona,Brescia,2,2
03/04/2019,Lecce,Cosenza,3,1
03/04/2019,Pescara,Palermo,3,2
05/04/2019,Brescia,Venezia,2,0
06/04/2019,Carpi,Padova,2,1
06/04/2019,Cittadella,Livorno,4,0
06/04/2019,Foggia,Spezia,1,0
06/04/2019,Perugia,Benevento,2,4
07/04/2019,Ascoli,Pescara,2,1
07/04/2019,Cosenza,Crotone,1,0
07/04/2019,Cremonese,Lecce,2,0
