DATA,CASA,TRASFERTA,GOLCS,GOLTR
10/08/2018,Benfica,Guimaraes,3,2
11/08/2018,Porto,Chaves,5,0
11/08/2018,Setubal,Aves,2,0
11/08/2018,Tondela,Belenenses,0,1
12/08/2018,Feirense,Rio Ave,2,0
12/08/2018,Maritimo,Santa Clara,1,0
12/08/2018,Moreirense,Sp Lisbon,1,3
12/08/2018,Sp Braga,Nacional,4,2
13/08/2018,Portimonense,Boavista,0,2
17/08/2018,Aves,Tondela,2,2
18/08/2018,Boavista,Benfica,0,2
18/08/2018,Chaves,Portimonense,2,0
18/08/2018,Sp Lisbon,Setubal,2,1
19/08/2018,Belenenses,Porto,2,3
19/08/2018,Nacional,Moreirense,1,2
19/08/2018,Rio Ave,Maritimo,3,1
19/08/2018,Santa Clara,Sp Braga,3,3
20/08/2018,Guimaraes,Feirense,0,1
24/08/2018,Maritimo,Chaves,2,1
25/08/2018,Benfica,Sp Lisbon,1,1
25/08/2018,Portimonense,Santa Clara,2,2
25/08/2018,Porto,Guimaraes,2,3
26/08/2018,Feirense,Boavista,1,1
26/08/2018,Setubal,Nacional,1,2
26/08/2018,Sp Braga,Aves,3,1
26/08/2018,Tondela,Rio Ave,1,1
27/08/2018,Moreirense,Belenenses,1,1
31/08/2018,Chaves,Sp Braga,0,1
31/08/2018,Guimaraes,Tondela,1,0
01/09/2018,Belenenses,Setubal,0,0
01/09/2018,Santa Clara,Boavista,4,2
01/09/2018,Sp Lisbon,Feirense,1,0
02/09/2018,Aves,Maritimo,0,1
02/09/2018,Nacional,Benfica,0,4
02/09/2018,Porto,Moreirense,3,0
02/09/2018,Rio Ave,Portimonense,2,1
21/09/2018,Boavista,Chaves,1,2
22/09/2018,Maritimo,Belenenses,0,0
22/09/2018,Santa Clara,Rio Ave,1,3
22/09/2018,Setubal,Porto,0,2
23/09/2018,Benfica,Aves,2,0
23/09/2018,Feirense,Nacional,0,0
23/09/2018,Portimonense,Guimaraes,3,2
23/09/2018,Tondela,Moreirense,2,0
24/09/2018,Sp Braga,Sp Lisbon,1,0
27/09/2018,Chaves,Benfica,2,2
28/09/2018,Porto,Tondela,1,0
29/09/2018,Moreirense,Feirense,1,0
29/09/2018,Rio Ave,Boavista,2,1
29/09/2018,Sp Lisbon,Maritimo,2,0
30/09/2018,Belenenses,Sp Braga,0,3
30/09/2018,Guimaraes,Setubal,1,1
30/09/2018,Nacional,Santa Clara,0,3
01/10/2018,Aves,Portimonense,3,0
05/10/2018,Feirense,Belenenses,0,0
05/10/2018,Santa Clara,Chaves,1,0
05/10/2018,Tondela,Nacional,1,1
06/10/2018,Maritimo,Guimaraes,1,3
06/10/2018,Setubal,Moreirense,3,0
06/10/2018,Sp Braga,Rio Ave,1,1
07/10/2018,Benfica,Porto,1,0
07/10/2018,Boavista,Aves,1,0
07/10/2018,Portimonense,Sp Lisbon,4,2
26/10/2018,Guimaraes,Sp Braga,1,1
26/10/2018,Nacional,Portimonense,0,1
27/10/2018,Aves,Santa Clara,1,2
27/10/2018,Belenenses,Benfica,2,0
27/10/2018,Rio Ave,Chaves,1,0
28/10/2018,Moreirense,Maritimo,1,0
28/10/2018,Porto,Feirense,2,0
28/10/2018,Sp Lisbon,Boavista,3,0
28/10/2018,Tondela,Setubal,1,2
02/11/2018,Benfica,Moreirense,1,3
03/11/2018,Boavista,Guimaraes,0,0
03/11/2018,Maritimo,Porto,0,2
03/11/2018,Portimonense,Belenenses,1,1
04/11/2018,Feirense,Tondela,2,4
04/11/2018,Santa Clara,Sp Lisbon,1,2
04/11/2018,Sp Braga,Setubal,2,1
05/11/2018,Chaves,Aves,1,2
05/11/2018,Rio Ave,Nacional,3,3
09/11/2018,Moreirense,Portimonense,2,0
09/11/2018,Setubal,Feirense,2,1
10/11/2018,Aves,Rio Ave,2,1
10/11/2018,Belenenses,Boavista,0,0
10/11/2018,Nacional,Maritimo,1,0
10/11/2018,Porto,Sp Braga,1,0
11/11/2018,Guimaraes,Santa Clara,2,0
11/11/2018,Sp Lisbon,Chaves,2,1
11/11/2018,Tondela,Benfica,1,3
30/11/2018,Santa Clara,Belenenses,2,3
01/12/2018,Benfica,Feirense,4,0
01/12/2018,Maritimo,Setubal,0,1
01/12/2018,Sp Braga,Moreirense,2,0
02/12/2018,Aves,Nacional,2,3
02/12/2018,Boavista,Porto,0,1
02/12/2018,Chaves,Guimaraes,0,1
02/12/2018,Portimonense,Tondela,3,2
03/12/2018,Rio Ave,Sp Lisbon,1,3
07/12/2018,Porto,Portimonense,4,1
08/12/2018,Belenenses,Chaves,1,0
08/12/2018,Setubal,Benfica,0,1
08/12/2018,Tondela,Sp Braga,0,1
09/12/2018,Guimaraes,Rio Ave,3,2
09/12/2018,Moreirense,Santa Clara,0,1
09/12/2018,Nacional,Boavista,0,0
09/12/2018,Sp Lisbon,Aves,4,1
10/12/2018,Feirense,Maritimo,1,1
14/12/2018,Portimonense,Setubal,3,1
14/12/2018,Sp Braga,Feirense,4,0
15/12/2018,Aves,Guimaraes,1,1
15/12/2018,Boavista,Tondela,2,0
15/12/2018,Chaves,Moreirense,1,2
15/12/2018,Santa Clara,Porto,1,2
16/12/2018,Maritimo,Benfica,0,1
16/12/2018,Rio Ave,Belenenses,2,2
16/12/2018,Sp Lisbon,Nacional,5,2
22/12/2018,Belenenses,Aves,5,2
22/12/2018,Feirense,Portimonense,0,1
22/12/2018,Moreirense,Boavista,2,1
22/12/2018,Setubal,Santa Clara,0,2
22/12/2018,Tondela,Maritimo,2,1
23/12/2018,Benfica,Sp Braga,6,2
23/12/2018,Guimaraes,Sp Lisbon,1,0
23/12/2018,Nacional,Chaves,2,0
23/12/2018,Porto,Rio Ave,2,1
02/01/2019,Boavista,Setubal,1,0
