DATA,CASA,TRASFERTA,GOLCS,GOLTR
28/07/2018,Ural,FK Anzi Makhackala,0,1
28/07/2018,Spartak Moscow,Orenburg,1,0
28/07/2018,FK Rostov,Akhmat Grozny,1,0
29/07/2018,Yenisey,Zenit Petersburg,0,2
29/07/2018,Arsenal Tula,Dynamo Moscow,0,0
29/07/2018,Rubin Kazan,Krasnodar,2,1
30/07/2018,Ufa,Lokomotiv Moscow,0,0
31/07/2018,FK Krylya Sovetov Samara,CSKA Moscow,0,0
03/08/2018,Dynamo Moscow,Rubin Kazan,1,1
04/08/2018,Ural,Krasnodar,1,2
04/08/2018,Zenit Petersburg,Arsenal Tula,1,0
04/08/2018,Lokomotiv Moscow,Spartak Moscow,0,0
05/08/2018,FK Krylya Sovetov Samara,Orenburg,0,3
05/08/2018,CSKA Moscow,FK Rostov,0,1
05/08/2018,Akhmat Grozny,Yenisey,1,0
06/08/2018,Ufa,FK Anzi Makhackala,3,0
10/08/2018,Ural,Dynamo Moscow,1,1
11/08/2018,Yenisey,CSKA Moscow,1,1
11/08/2018,Spartak Moscow,FK Anzi Makhackala,1,0
11/08/2018,FK Rostov,FK Krylya Sovetov Samara,0,1
12/08/2018,Orenburg,Lokomotiv Moscow,1,0
12/08/2018,Arsenal Tula,Akhmat Grozny,3,1
13/08/2018,Ufa,Krasnodar,0,1
13/08/2018,Rubin Kazan,Zenit Petersburg,0,1
17/08/2018,FK Anzi Makhackala,Orenburg,1,3
18/08/2018,CSKA Moscow,Arsenal Tula,3,0
18/08/2018,Krasnodar,Spartak Moscow,0,1
18/08/2018,Akhmat Grozny,Rubin Kazan,1,1
19/08/2018,FK Krylya Sovetov Samara,Lokomotiv Moscow,0,1
19/08/2018,Zenit Petersburg,Ural,4,1
19/08/2018,FK Rostov,Yenisey,4,0
20/08/2018,Dynamo Moscow,Ufa,3,0
24/08/2018,Arsenal Tula,FK Rostov,0,1
25/08/2018,Ural,Akhmat Grozny,2,1
25/08/2018,Rubin Kazan,CSKA Moscow,1,1
25/08/2018,Spartak Moscow,Dynamo Moscow,2,1
26/08/2018,Orenburg,Krasnodar,1,1
26/08/2018,Ufa,Zenit Petersburg,0,2
26/08/2018,Lokomotiv Moscow,FK Anzi Makhackala,2,1
27/08/2018,Yenisey,FK Krylya Sovetov Samara,1,0
31/08/2018,FK Rostov,Rubin Kazan,1,1
01/09/2018,FK Krylya Sovetov Samara,FK Anzi Makhackala,1,0
01/09/2018,CSKA Moscow,Ural,4,0
01/09/2018,Krasnodar,Lokomotiv Moscow,2,1
02/09/2018,Yenisey,Arsenal Tula,0,0
02/09/2018,Dynamo Moscow,Orenburg,2,0
02/09/2018,Zenit Petersburg,Spartak Moscow,0,0
02/09/2018,Akhmat Grozny,Ufa,2,1
14/09/2018,Lokomotiv Moscow,Dynamo Moscow,1,1
15/09/2018,Rubin Kazan,Yenisey,1,0
15/09/2018,Ufa,CSKA Moscow,0,3
15/09/2018,Arsenal Tula,FK Krylya Sovetov Samara,4,0
16/09/2018,Orenburg,Zenit Petersburg,1,2
16/09/2018,FK Anzi Makhackala,Krasnodar,0,4
16/09/2018,Spartak Moscow,Akhmat Grozny,1,2
17/09/2018,Ural,FK Rostov,1,1
22/09/2018,Yenisey,Ural,1,2
22/09/2018,Dynamo Moscow,FK Anzi Makhackala,0,1
22/09/2018,Arsenal Tula,Rubin Kazan,2,2
22/09/2018,Akhmat Grozny,Orenburg,1,1
22/09/2018,FK Rostov,Ufa,0,0
23/09/2018,Zenit Petersburg,Lokomotiv Moscow,5,3
23/09/2018,CSKA Moscow,Spartak Moscow,1,1
24/09/2018,FK Krylya Sovetov Samara,Krasnodar,0,3
28/09/2018,Orenburg,CSKA Moscow,0,1
29/09/2018,Ural,Arsenal Tula,2,1
29/09/2018,Ufa,Yenisey,2,1
29/09/2018,Lokomotiv Moscow,Akhmat Grozny,2,0
30/09/2018,FK Anzi Makhackala,Zenit Petersburg,2,1
30/09/2018,Krasnodar,Dynamo Moscow,3,0
30/09/2018,Spartak Moscow,FK Rostov,0,1
01/10/2018,Rubin Kazan,FK Krylya Sovetov Samara,2,1
05/10/2018,Arsenal Tula,Ufa,1,1
06/10/2018,FK Krylya Sovetov Samara,Dynamo Moscow,1,0
06/10/2018,FK Rostov,Orenburg,0,1
06/10/2018,Rubin Kazan,Ural,1,0
07/10/2018,Yenisey,Spartak Moscow,2,3
07/10/2018,Akhmat Grozny,FK Anzi Makhackala,0,0
07/10/2018,Zenit Petersburg,Krasnodar,2,1
07/10/2018,CSKA Moscow,Lokomotiv Moscow,0,1
19/10/2018,FK Anzi Makhackala,CSKA Moscow,0,2
19/10/2018,Lokomotiv Moscow,FK Rostov,2,1
20/10/2018,Orenburg,Yenisey,0,0
20/10/2018,Ural,FK Krylya Sovetov Samara,1,1
20/10/2018,Ufa,Rubin Kazan,0,0
21/10/2018,Dynamo Moscow,Zenit Petersburg,1,0
21/10/2018,Spartak Moscow,Arsenal Tula,2,3
21/10/2018,Krasnodar,Akhmat Grozny,0,1
27/10/2018,Ural,Ufa,1,1
27/10/2018,Arsenal Tula,Orenburg,2,2
27/10/2018,FK Rostov,FK Anzi Makhackala,1,0
28/10/2018,Yenisey,Lokomotiv Moscow,0,3
28/10/2018,Akhmat Grozny,Dynamo Moscow,0,0
28/10/2018,CSKA Moscow,Krasnodar,1,2
29/10/2018,FK Krylya Sovetov Samara,Zenit Petersburg,0,1
29/10/2018,Rubin Kazan,Spartak Moscow,1,1
03/11/2018,Lokomotiv Moscow,Arsenal Tula,3,1
03/11/2018,Dynamo Moscow,CSKA Moscow,0,0
04/11/2018,Zenit Petersburg,Akhmat Grozny,1,0
04/11/2018,Krasnodar,FK Rostov,2,2
04/11/2018,Spartak Moscow,Ural,1,2
05/11/2018,Orenburg,Rubin Kazan,1,0
05/11/2018,Ufa,FK Krylya Sovetov Samara,1,2
05/11/2018,FK Anzi Makhackala,Yenisey,2,1
09/11/2018,Arsenal Tula,FK Anzi Makhackala,2,0
10/11/2018,Ural,Orenburg,2,1
10/11/2018,FK Krylya Sovetov Samara,Akhmat Grozny,1,2
10/11/2018,FK Rostov,Dynamo Moscow,0,0
11/11/2018,Ufa,Spartak Moscow,2,0
11/11/2018,Krasnodar,Yenisey,3,0
11/11/2018,Rubin Kazan,Lokomotiv Moscow,0,0
11/11/2018,CSKA Moscow,Zenit Petersburg,2,0
23/11/2018,Akhmat Grozny,CSKA Moscow,0,2
23/11/2018,Lokomotiv Moscow,Ural,1,2
24/11/2018,Dynamo Moscow,Yenisey,1,2
24/11/2018,Orenburg,Ufa,1,0
24/11/2018,FK Anzi Makhackala,Rubin Kazan,1,1
25/11/2018,Spartak Moscow,FK Krylya Sovetov Samara,3,1
25/11/2018,Krasnodar,Arsenal Tula,3,0
25/11/2018,Zenit Petersburg,FK Rostov,2,0
30/11/2018,Rubin Kazan,Dynamo Moscow,1,1
01/12/2018,Yenisey,Akhmat Grozny,1,1
01/12/2018,FK Anzi Makhackala,Ufa,0,0
02/12/2018,Krasnodar,Ural,2,0
02/12/2018,FK Rostov,CSKA Moscow,0,0
02/12/2018,Spartak Moscow,Lokomotiv Moscow,2,1
03/12/2018,Arsenal Tula,Zenit Petersburg,4,2
08/12/2018,FK Krylya Sovetov Samara,FK Rostov,1,0
08/12/2018,CSKA Moscow,Yenisey,2,1
08/12/2018,Lokomotiv Moscow,Orenburg,2,1
08/12/2018,FK Anzi Makhackala,Spartak Moscow,0,3
09/12/2018,Dynamo Moscow,Ural,4,0
09/12/2018,Krasnodar,Ufa,1,1
09/12/2018,Zenit Petersburg,Rubin Kazan,1,2
10/12/2018,Akhmat Grozny,Arsenal Tula,2,0
01/03/2019,Orenburg,FK Anzi Makhackala,0,1
02/03/2019,Ural,Zenit Petersburg,0,1
02/03/2019,Arsenal Tula,CSKA Moscow,2,0
02/03/2019,Lokomotiv Moscow,FK Krylya Sovetov Samara,2,2
02/03/2019,Rubin Kazan,Akhmat Grozny,1,0
03/03/2019,Ufa,Dynamo Moscow,1,2
03/03/2019,Yenisey,FK Rostov,1,1
03/03/2019,Spartak Moscow,Krasnodar,1,1
09/03/2019,FK Krylya Sovetov Samara,Yenisey,4,0
09/03/2019,CSKA Moscow,Rubin Kazan,3,0
10/03/2019,FK Rostov,Arsenal Tula,0,0
10/03/2019,Zenit Petersburg,Ufa,2,1
10/03/2019,Dynamo Moscow,Spartak Moscow,0,1
10/03/2019,FK Anzi Makhackala,Lokomotiv Moscow,0,2
11/03/2019,Akhmat Grozny,Ural,1,1
11/03/2019,Krasnodar,Orenburg,2,2
15/03/2019,FK Anzi Makhackala,FK Krylya Sovetov Samara,0,2
16/03/2019,Orenburg,Dynamo Moscow,1,0
16/03/2019,Ural,CSKA Moscow,0,1
16/03/2019,Rubin Kazan,FK Rostov,0,2
16/03/2019,Arsenal Tula,Yenisey,2,0
17/03/2019,Ufa,Akhmat Grozny,0,1
17/03/2019,Lokomotiv Moscow,Krasnodar,1,0
17/03/2019,Spartak Moscow,Zenit Petersburg,1,1
29/03/2019,FK Krylya Sovetov Samara,Arsenal Tula,0,1
30/03/2019,Yenisey,Rubin Kazan,1,1
30/03/2019,Dynamo Moscow,Lokomotiv Moscow,0,1
30/03/2019,Akhmat Grozny,Spartak Moscow,1,3
30/03/2019,FK Rostov,Ural,2,1
31/03/2019,Zenit Petersburg,Orenburg,3,1
31/03/2019,CSKA Moscow,Ufa,2,2
31/03/2019,Krasnodar,FK Anzi Makhackala,5,0
03/04/2019,Orenburg,FK Krylya Sovetov Samara,3,1
06/04/2019,FK Anzi Makhackala,Dynamo Moscow,1,1
06/04/2019,Krasnodar,FK Krylya Sovetov Samara,1,0
06/04/2019,Spartak Moscow,CSKA Moscow,0,2
07/04/2019,Ufa,FK Rostov,1,0
07/04/2019,Ural,Yenisey,3,2
07/04/2019,Rubin Kazan,Arsenal Tula,0,0
07/04/2019,Lokomotiv Moscow,Zenit Petersburg,1,1
08/04/2019,Orenburg,Akhmat Grozny,1,3
